tag,group_size,category,all_correct,per_member,gold,sample_idx
<references / uncompressed>,4,cross,0,1100,ABCD,"600,601,602,603"
<references / uncompressed>,4,cross,0,0000,ABCD,"604,605,606,607"
<references / uncompressed>,4,cross,0,0101,ABCD,"608,609,610,611"
<references / uncompressed>,4,cross,0,0000,ABCD,"612,613,614,615"
<references / uncompressed>,4,cross,0,0000,ABCD,"616,617,618,619"
<references / uncompressed>,4,cross,0,0000,ABCD,"620,621,622,623"
<references / uncompressed>,4,cross,0,0000,ABCD,"624,625,626,627"
<references / uncompressed>,4,cross,0,0000,ABCD,"628,629,630,631"
<references / uncompressed>,4,cross,0,0000,ABCD,"632,633,634,635"
<references / uncompressed>,4,cross,1,1111,ABCD,"636,637,638,639"
<references / uncompressed>,4,cross,0,0100,ABCD,"640,641,642,643"
<references / uncompressed>,4,cross,0,1110,ABCD,"644,645,646,647"
<references / uncompressed>,4,cross,0,0000,ABCD,"648,649,650,651"
<references / uncompressed>,4,cross,1,1111,ABCD,"652,653,654,655"
<references / uncompressed>,4,cross,0,1100,ABCD,"656,657,658,659"
<references / uncompressed>,4,cross,1,1111,ABCD,"660,661,662,663"
<references / uncompressed>,4,cross,0,0000,ABCD,"664,665,666,667"
<references / uncompressed>,4,cross,1,1111,ABCD,"668,669,670,671"
<references / uncompressed>,4,cross,0,0100,ABCD,"672,673,674,675"
<references / uncompressed>,4,cross,1,1111,ABCD,"676,677,678,679"
<references / uncompressed>,4,cross,0,0101,ABCD,"680,681,682,683"
<references / uncompressed>,4,cross,1,1111,ABCD,"684,685,686,687"
<references / uncompressed>,4,cross,0,0000,ABCD,"688,689,690,691"
<references / uncompressed>,4,cross,1,1111,ABCD,"692,693,694,695"
<references / uncompressed>,4,cross,0,0100,ABCD,"696,697,698,699"
<references / uncompressed>,4,cross,0,0111,ABCD,"700,701,702,703"
<references / uncompressed>,4,cross,0,0100,ABCD,"704,705,706,707"
<references / uncompressed>,4,single,1,1111,ABCD,"708,709,710,711"
<references / uncompressed>,4,single,1,1111,ABCD,"712,713,714,715"
<references / uncompressed>,4,single,1,1111,ABCD,"716,717,718,719"
<references / uncompressed>,4,cross,0,0000,ABCD,"720,721,722,723"
<references / uncompressed>,4,single,1,1111,ABCD,"724,725,726,727"
<references / uncompressed>,4,cross,1,1111,ABCD,"728,729,730,731"
<references / uncompressed>,4,cross,1,1111,ABCD,"732,733,734,735"
<references / uncompressed>,4,cross,0,0100,ABCD,"736,737,738,739"
<references / uncompressed>,4,cross,1,1111,ABCD,"740,741,742,743"
<references / uncompressed>,4,single,0,1101,ABCD,"744,745,746,747"
<references / uncompressed>,4,single,1,1111,ABCD,"748,749,750,751"
<references / uncompressed>,4,cross,0,0110,ABCD,"752,753,754,755"
<references / uncompressed>,4,cross,0,0111,ABCD,"756,757,758,759"
<references / uncompressed>,4,cross,1,1111,ABCD,"760,761,762,763"
<references / uncompressed>,4,cross,0,0000,ABCD,"764,765,766,767"
<references / uncompressed>,4,cross,1,1111,ABCD,"768,769,770,771"
<references / uncompressed>,4,cross,0,0000,ABCD,"772,773,774,775"
<references / uncompressed>,4,cross,1,1111,ABCD,"776,777,778,779"
<references / uncompressed>,4,cross,0,1100,ABCD,"780,781,782,783"
<references / uncompressed>,4,cross,1,1111,ABCD,"784,785,786,787"
<references / uncompressed>,4,cross,1,1111,ABCD,"788,789,790,791"
<references / uncompressed>,4,cross,1,1111,ABCD,"792,793,794,795"
<references / uncompressed>,4,cross,1,1111,ABCD,"796,797,798,799"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"0,1,2,3"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"4,5,6,7"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"8,9,10,11"
budget=3072_info_density_delay0_thumbattn,4,single,0,1001,ABCD,"12,13,14,15"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"16,17,18,19"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"20,21,22,23"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"24,25,26,27"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0100,ABCD,"28,29,30,31"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"32,33,34,35"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"36,37,38,39"
budget=3072_info_density_delay0_thumbattn,4,single,0,1100,ABCD,"40,41,42,43"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"44,45,46,47"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0001,ABCD,"48,49,50,51"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"52,53,54,55"
budget=3072_info_density_delay0_thumbattn,4,single,0,0100,ABCD,"56,57,58,59"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"60,61,62,63"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"64,65,66,67"
budget=3072_info_density_delay0_thumbattn,4,single,0,1100,ABCD,"68,69,70,71"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"72,73,74,75"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"76,77,78,79"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"80,81,82,83"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"84,85,86,87"
budget=3072_info_density_delay0_thumbattn,4,single,0,1110,ABCD,"88,89,90,91"
budget=3072_info_density_delay0_thumbattn,4,single,0,0000,ABCD,"92,93,94,95"
budget=3072_info_density_delay0_thumbattn,4,single,0,0111,ABCD,"96,97,98,99"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"100,101,102,103"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"104,105,106,107"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"108,109,110,111"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"112,113,114,115"
budget=3072_info_density_delay0_thumbattn,4,single,0,0000,ABCD,"116,117,118,119"
budget=3072_info_density_delay0_thumbattn,4,cross,0,1100,ABCD,"120,121,122,123"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0011,ABCD,"124,125,126,127"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"128,129,130,131"
budget=3072_info_density_delay0_thumbattn,4,single,0,1100,ABCD,"132,133,134,135"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"136,137,138,139"
budget=3072_info_density_delay0_thumbattn,4,single,0,0000,ABCD,"140,141,142,143"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"144,145,146,147"
budget=3072_info_density_delay0_thumbattn,4,single,0,1011,ABCD,"148,149,150,151"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"152,153,154,155"
budget=3072_info_density_delay0_thumbattn,4,single,0,0100,ABCD,"156,157,158,159"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"160,161,162,163"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"164,165,166,167"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"168,169,170,171"
budget=3072_info_density_delay0_thumbattn,4,single,0,1000,ABCD,"172,173,174,175"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"176,177,178,179"
budget=3072_info_density_delay0_thumbattn,4,single,0,0010,ABCD,"180,181,182,183"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"184,185,186,187"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"188,189,190,191"
budget=3072_info_density_delay0_thumbattn,4,single,0,0000,ABCD,"192,193,194,195"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"196,197,198,199"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"200,201,202,203"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"204,205,206,207"
budget=3072_info_density_delay0_thumbattn,4,single,0,1110,ABCD,"208,209,210,211"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"212,213,214,215"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"216,217,218,219"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"220,221,222,223"
budget=3072_info_density_delay0_thumbattn,4,single,0,1010,ABCD,"224,225,226,227"
budget=3072_info_density_delay0_thumbattn,4,single,0,1010,ABCD,"228,229,230,231"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"232,233,234,235"
budget=3072_info_density_delay0_thumbattn,4,single,0,1110,ABCD,"236,237,238,239"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"240,241,242,243"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"244,245,246,247"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"248,249,250,251"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"252,253,254,255"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"256,257,258,259"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"260,261,262,263"
budget=3072_info_density_delay0_thumbattn,4,single,0,0100,ABCD,"264,265,266,267"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"268,269,270,271"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"272,273,274,275"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"276,277,278,279"
budget=3072_info_density_delay0_thumbattn,4,single,0,1000,ABCD,"280,281,282,283"
budget=3072_info_density_delay0_thumbattn,4,single,0,0000,ABCD,"284,285,286,287"
budget=3072_info_density_delay0_thumbattn,4,single,0,0100,ABCD,"288,289,290,291"
budget=3072_info_density_delay0_thumbattn,4,single,0,1000,ABCD,"292,293,294,295"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"296,297,298,299"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"300,301,302,303"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"304,305,306,307"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"308,309,310,311"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"312,313,314,315"
budget=3072_info_density_delay0_thumbattn,4,single,0,1011,ABCD,"316,317,318,319"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"320,321,322,323"
budget=3072_info_density_delay0_thumbattn,4,single,0,1110,ABCD,"324,325,326,327"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"328,329,330,331"
budget=3072_info_density_delay0_thumbattn,4,single,0,0000,ABCD,"332,333,334,335"
budget=3072_info_density_delay0_thumbattn,4,single,0,0000,ABCD,"336,337,338,339"
budget=3072_info_density_delay0_thumbattn,4,single,0,0000,ABCD,"340,341,342,343"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"344,345,346,347"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"348,349,350,351"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"352,353,354,355"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"356,357,358,359"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"360,361,362,363"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"364,365,366,367"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"368,369,370,371"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0100,ABCD,"372,373,374,375"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0111,ABCD,"376,377,378,379"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"380,381,382,383"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"384,385,386,387"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"388,389,390,391"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"392,393,394,395"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"396,397,398,399"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"400,401,402,403"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0100,ABCD,"404,405,406,407"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"408,409,410,411"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"412,413,414,415"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"416,417,418,419"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"420,421,422,423"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"424,425,426,427"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"428,429,430,431"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"432,433,434,435"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"436,437,438,439"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"440,441,442,443"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"444,445,446,447"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"448,449,450,451"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"452,453,454,455"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"456,457,458,459"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"460,461,462,463"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"464,465,466,467"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"468,469,470,471"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"472,473,474,475"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"476,477,478,479"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"480,481,482,483"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"484,485,486,487"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"488,489,490,491"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"492,493,494,495"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"496,497,498,499"
budget=3072_info_density_delay0_thumbattn,4,single,0,0000,ABCD,"500,501,502,503"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"504,505,506,507"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"508,509,510,511"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"512,513,514,515"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"516,517,518,519"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"520,521,522,523"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"524,525,526,527"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"528,529,530,531"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"532,533,534,535"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"536,537,538,539"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"540,541,542,543"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"544,545,546,547"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"548,549,550,551"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"552,553,554,555"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"556,557,558,559"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"560,561,562,563"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0100,ABCD,"564,565,566,567"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"568,569,570,571"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"572,573,574,575"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"576,577,578,579"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"580,581,582,583"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"584,585,586,587"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0100,ABCD,"588,589,590,591"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0100,ABCD,"592,593,594,595"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0010,ABCD,"596,597,598,599"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0100,ABCD,"600,601,602,603"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"604,605,606,607"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0100,ABCD,"608,609,610,611"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"612,613,614,615"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"616,617,618,619"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0110,ABCD,"620,621,622,623"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0001,ABCD,"624,625,626,627"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"628,629,630,631"
